date,stock_name,close
2020-01-02,万科A,26.59432424
2020-01-02,中国神华,11.61051463
2020-01-02,中国移动,
2020-01-02,五粮液,111.86238232
2020-01-02,工商银行,4.15146039
2020-01-02,招商银行,29.43297648
2020-01-02,比亚迪,15.58236879
2020-01-02,贵州茅台,979.04556
2020-01-02,长城汽车,8.3860208
2020-01-02,顺丰控股,33.9698106
2020-01-03,万科A,26.17776695
2020-01-03,中国神华,11.59177792
2020-01-03,中国移动,
2020-01-03,五粮液,110.56658095
2020-01-03,工商银行,4.16536813
2020-01-03,招商银行,29.8266274
2020-01-03,比亚迪,15.54031548
2020-01-03,贵州茅台,934.47732672
2020-01-03,长城汽车,8.35867508
2020-01-03,顺丰控股,33.70697055
2020-01-06,万科A,25.73670629
2020-01-06,中国神华,11.72918046
2020-01-06,中国移动,
2020-01-06,五粮液,109.4232268
2020-01-06,工商银行,4.15146039
2020-01-06,招商银行,29.70550404
2020-01-06,比亚迪,15.61795236
2020-01-06,贵州茅台,933.98347188
2020-01-06,长城汽车,8.16725504
2020-01-06,顺丰控股,33.39881325
2020-01-07,万科A,25.94090104
2020-01-07,中国神华,11.75416274
2020-01-07,中国移动,
2020-01-07,五粮液,109.56720473
2020-01-07,工商银行,4.17927587
2020-01-07,招商银行,29.63737215
2020-01-07,比亚迪,15.54355035
2020-01-07,贵州茅台,948.31392636
2020-01-07,长城汽车,8.3404446
2020-01-07,顺丰控股,34.1692065
2020-01-08,万科A,25.87555872
2020-01-08,中国神华,11.46062095
2020-01-08,中国移动,
2020-01-08,五粮液,109.16067881
2020-01-08,工商银行,4.10973717
2020-01-08,招商银行,29.07717661
2020-01-08,比亚迪,15.29446536
2020-01-08,贵州茅台,942.77755368
2020-01-08,长城汽车,8.18548552
2020-01-08,顺丰控股,33.76135125
2020-01-09,万科A,26.3002838
2020-01-09,中国神华,11.4918488
2020-01-09,中国移动,
2020-01-09,五粮液,110.75290533
2020-01-09,工商银行,4.10973717
2020-01-09,招商银行,29.4481169
2020-01-09,比亚迪,15.41415555
2020-01-09,贵州茅台,955.3925124
2020-01-09,长城汽车,8.2948684
2020-01-09,顺丰控股,33.7704147
2020-01-10,万科A,25.69586734
2020-01-10,中国神华,11.34195512
2020-01-10,中国移动,
2020-01-10,五粮液,113.16665298
2020-01-10,工商银行,4.10973717
2020-01-10,招商银行,29.55409984
2020-01-10,比亚迪,15.17801004
2020-01-10,贵州茅台,963.88335
2020-01-10,长城汽车,8.32221412
2020-01-10,顺丰控股,34.06950855
2020-01-13,万科A,25.87555872
2020-01-13,中国神华,11.36069183
2020-01-13,中国移动,
2020-01-13,五粮液,118.28210414
2020-01-13,工商银行,4.12364491
2020-01-13,招商银行,29.5995211
2020-01-13,比亚迪,16.69516407
2020-01-13,贵州茅台,974.08101924
2020-01-13,长城汽车,8.27663792
2020-01-13,顺丰控股,34.3686024
2020-01-14,万科A,25.63869281
2020-01-14,中国神华,11.33570955
2020-01-14,中国移动,
2020-01-14,五粮液,117.35048224
2020-01-14,工商银行,4.13059878
2020-01-14,招商银行,29.37998501
2020-01-14,比亚迪,17.28714528
2020-01-14,贵州茅台,959.4646488
2020-01-14,长城汽车,8.14902456
2020-01-14,顺丰控股,33.9154299
2020-01-15,万科A,24.90359171
2020-01-15,中国神华,11.13585131
2020-01-15,中国移动,
2020-01-15,五粮液,119.2476032
2020-01-15,工商银行,4.08887556
2020-01-15,招商银行,28.85764052
2020-01-15,比亚迪,17.24509197
2020-01-15,贵州茅台,963.56277756
2020-01-15,长城汽车,8.0214112
2020-01-15,顺丰控股,33.534765
2020-01-16,万科A,24.93626287
2020-01-16,中国神华,11.1171146
2020-01-16,中国移动,
2020-01-16,五粮液,119.12903314
2020-01-16,工商银行,4.0332446
2020-01-16,招商银行,28.73651716
2020-01-16,比亚迪,17.49741183
2020-01-16,贵州茅台,959.118084
2020-01-16,长城汽车,7.91202832
2020-01-16,顺丰控股,33.4078767
2020-01-17,万科A,24.87908834
2020-01-17,中国神华,11.1795703
2020-01-17,中国移动,
2020-01-17,五粮液,117.34201295
2020-01-17,工商银行,4.04715234
