date,open,high,low,close,volume,amount,code,name,industry
2020-01-02,977.312736,992.09372472,966.915792,979.04556,14809916,16696837095.0,600519,贵州茅台,白酒
2020-01-03,967.782204,967.782204,933.0390828,934.47732672,13031878,14266380596.0,600519,贵州茅台,白酒
2020-01-06,927.80595432,946.9016748,924.7215276,933.98347188,6341478,6853917601.0,600519,贵州茅台,白酒
2020-01-07,933.55893,952.186788,932.6058768,948.31392636,4785359,5220697068.0,600519,贵州茅台,白酒
2020-01-08,940.1003406,949.154346,937.96030296,942.77755368,2500825,2720371915.0,600519,贵州茅台,白酒
2020-01-09,947.854728,957.72316068,944.38908,955.3925124,3740587,4110949814.0,600519,贵州茅台,白酒
2020-01-10,960.850908,966.90712788,955.21923,963.88335,3597587,3993457118.0,600519,贵州茅台,白酒
2020-01-13,963.88335,978.3524304,963.450144,974.08101924,3851575,4325687959.0,600519,贵州茅台,白酒
2020-01-14,974.0203704,974.61819468,955.652436,959.4646488,3514465,3916300790.0,600519,贵州茅台,白酒
2020-01-15,960.85957212,971.7676992,957.38526,963.56277756,2602911,2895603674.0,600519,贵州茅台,白酒
2020-01-16,969.40239444,969.40239444,955.28854296,959.118084,2319165,2571593141.0,600519,贵州茅台,白酒
2020-01-17,961.71732,964.12594536,953.92827612,959.55129,2347275,2599645144.0,600519,贵州茅台,白酒
2020-01-20,963.32884632,963.32884632,937.457784,945.255492,3539130,3858246844.0,600519,贵州茅台,白酒
2020-01-21,936.591372,941.789844,929.0535876,931.6528236,3287405,3542441308.0,600519,贵州茅台,白酒
2020-01-22,927.06084,939.190608,914.39389656,931.83477012,3620004,3875275065.0,600519,贵州茅台,白酒
2020-01-23,932.259312,932.259312,898.469244,912.1585536,5346843,5638945742.0,600519,贵州茅台,白酒
2020-02-03,853.41582,875.66528016,849.08376,869.80833504,12344288,12314991759.0,600519,贵州茅台,白酒
2020-02-04,879.40818,915.797484,875.95119612,899.34432012,6262418,6490469043.0,600519,贵州茅台,白酒
2020-02-05,909.7326,913.198248,895.02958836,909.72393588,4741824,4956355235.0,600519,贵州茅台,白酒
2020-02-06,917.90286516,931.3929,911.48275224,927.927252,4717121,5011246407.0,600519,贵州茅台,白酒
2020-02-07,927.06950412,933.125724,919.28046024,932.259312,3127871,3348894576.0,600519,贵州茅台,白酒
2020-02-10,920.129544,931.0463352,915.9707664,924.01973388,3053342,3251908506.0,600519,贵州茅台,白酒
2020-02-11,920.995956,952.77594816,920.8226736,951.320376,4791793,5222918915.0,600519,贵州茅台,白酒
2020-02-12,943.522668,952.00484148,940.81946256,950.68789524,2812543,3072293973.0,600519,贵州茅台,白酒
2020-02-13,951.320376,965.08766268,942.66492012,945.255492,3035736,3335277425.0,600519,贵州茅台,白酒
2020-02-14,944.7789654,947.43018612,938.41950132,942.656256,2328760,2534568401.0,600519,贵州茅台,白酒
2020-02-17,937.89099,949.75217028,937.8043488,947.69877384,2702822,2946182657.0,600519,贵州茅台,白酒
2020-02-18,944.39774412,950.34999456,938.324196,939.190608,2666496,2897729692.0,600519,贵州茅台,白酒
2020-02-19,940.05702,954.352818,933.992136,950.020758,3705147,4052365602.0,600519,贵州茅台,白酒
2020-02-20,950.1940404,973.847088,949.07636892,968.648616,4680262,5220660940.0,600519,贵州茅台,白酒
2020-02-21,962.98228152,973.44853848,961.72598412,964.21258656,2894008,3225337160.0,600519,贵州茅台,白酒
2020-02-24,957.818466,961.71732,940.490226,941.94579816,3865036,4221857466.0,600519,贵州茅台,白酒
